Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Ticket Status,Date Case Closed,Victim Group,Resolution Category,Time Of Crime,Month of Crime,Year of crime,Resolution_Days,Reporting_Delay
18792,24 Feb 2022,21 Feb 2022,12:05 AM,Delhi,383,SEXUAL ASSAULT,33,M,Knife,Violent Crime,17,Active,Not Closed,Adult,Not Resolved,Night,Feb,2022,Not Resolved,2.33
22493,28 Jul 2022,26 Jul 2022,10:25 AM,Chennai,472,IDENTITY THEFT,42,F,Blunt Object,Violent Crime,11,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2022,Not Resolved,2.88
37585,17 Apr 2024,15 Apr 2024,2:46 PM,Kolkata,589,BURGLARY,29,F,Other,Other Crime,1,Solved,10 Jul 2024,Adult,Moderate,Morning,Apr,2024,86.875,2.21
7331,3 Nov 2020,1 Nov 2020,3:23 PM,Mumbai,391,ARSON,34,F,Explosives,Fire Accident,8,Solved,16 Nov 2020,Adult,Fast,Morning,Nov,2020,15.20833333,1.88
6553,1 Oct 2020,30 Sep 2020,4:21 AM,Bangalore,253,TRAFFIC VIOLATION,63,F,Firearm,Traffic Fatality,11,Active,Not Closed,Senior,Not Resolved,Night,Sep,2020,Not Resolved,0.33
5010,28 Jul 2020,27 Jul 2020,10:08 AM,Kalyan,179,HOMICIDE,36,F,Other,Other Crime,16,Solved,5 Jun 2022,Adult,Very Slow,Morning,Jul,2020,677.3333333,1.46
31903,23 Aug 2023,22 Aug 2023,1:01 PM,Kolkata,102,TRAFFIC VIOLATION,58,M,Unknown Weapon,Traffic Fatality,14,Solved,17 Sep 2023,Adult,Fast,Morning,Aug,2023,26.45833333,0.21
34364,3 Dec 2023,2 Dec 2023,12:59 AM,Delhi,126,HOMICIDE,65,M,Firearm,Other Crime,5,Active,Not Closed,Senior,Not Resolved,Night,Dec,2023,Not Resolved,0.25
33021,8 Oct 2023,7 Oct 2023,7:38 PM,Mumbai,437,HOMICIDE,37,F,Blunt Object,Other Crime,12,Solved,5 Mar 2025,Adult,Very Slow,Afternoon,Oct,2023,514.25,0.71
4260,27 Jun 2020,26 Jun 2020,12:44 PM,Kanpur,425,TRAFFIC VIOLATION,61,F,Poison,Traffic Fatality,13,Active,Not Closed,Senior,Not Resolved,Morning,Jun,2020,Not Resolved,0.21
30696,3 Jul 2023,2 Jul 2023,1:24 AM,Ghaziabad,339,ILLEGAL POSSESSION,44,M,Knife,Other Crime,12,Active,Not Closed,Adult,Not Resolved,Night,Jul,2023,Not Resolved,1.92
4173,24 Jun 2020,22 Jun 2020,7:40 AM,Meerut,361,ARSON,65,F,Unknown Weapon,Fire Accident,17,Solved,9 Sep 2020,Senior,Moderate,Morning,Jun,2020,78.91666667,2.13
11918,13 May 2021,11 May 2021,10:43 AM,Delhi,551,PUBLIC INTOXICATION,37,F,Explosives,Other Crime,18,Solved,15 May 2021,Adult,Very Fast,Morning,May,2021,4.125,0.42
21085,28 May 2022,28 May 2022,5:24 AM,Delhi,179,EXTORTION,30,M,Other,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Night,May,2022,Not Resolved,0.88
34332,2 Dec 2023,1 Dec 2023,4:21 PM,Varanasi,524,FRAUD,69,M,Other,Other Crime,10,Active,Not Closed,Senior,Not Resolved,Afternoon,Dec,2023,Not Resolved,0.71
5320,10 Aug 2020,9 Aug 2020,3:02 PM,Agra,565,HOMICIDE,38,F,Firearm,Other Crime,18,Solved,25 Jul 2022,Adult,Very Slow,Morning,Aug,2020,714.7083333,2.25
16596,24 Nov 2021,22 Nov 2021,3:34 AM,Chennai,418,DRUG OFFENSE,37,M,Poison,Other Crime,13,Active,Not Closed,Adult,Not Resolved,Night,Nov,2021,Not Resolved,2.29
39239,25 Jun 2024,22 Jun 2024,2:32 PM,Bangalore,321,EXTORTION,46,F,Firearm,Other Crime,15,Solved,4 Sep 2024,Adult,Moderate,Morning,Jun,2024,73.29166667,2.88
1577,9 Mar 2020,6 Mar 2020,10:13 PM,Kalyan,350,KIDNAPPING,25,F,Explosives,Other Crime,9,Solved,18 Apr 2020,Adult,Moderate,Night,Mar,2020,42.875,1.58
38087,7 May 2024,5 May 2024,4:12 AM,Ghaziabad,211,BURGLARY,17,F,Knife,Other Crime,8,Active,Not Closed,Minor,Not Resolved,Night,May,2024,Not Resolved,2.17
16830,4 Dec 2021,2 Dec 2021,1:15 PM,Agra,273,EXTORTION,58,M,Poison,Other Crime,6,Solved,5 Jan 2022,Adult,Moderate,Morning,Dec,2021,34.16666667,0.71
14953,15 Sep 2021,15 Sep 2021,3:18 AM,Hyderabad,264,IDENTITY THEFT,50,F,Unknown Weapon,Violent Crime,1,Solved,13 Nov 2021,Adult,Moderate,Night,Sep,2021,59.70833333,1.58
19880,9 Apr 2022,8 Apr 2022,5:55 AM,Varanasi,529,VANDALISM,78,F,Blunt Object,Other Crime,18,Active,Not Closed,Senior,Not Resolved,Night,Apr,2022,Not Resolved,1.08
25734,9 Dec 2022,8 Dec 2022,3:40 AM,Delhi,456,DOMESTIC VIOLENCE,71,M,Firearm,Violent Crime,2,Active,Not Closed,Senior,Not Resolved,Night,Dec,2022,Not Resolved,1.29
14062,10 Aug 2021,8 Aug 2021,5:30 PM,Ahmedabad,325,TRAFFIC VIOLATION,54,F,Other,Traffic Fatality,4,Solved,17 Aug 2021,Adult,Very Fast,Afternoon,Aug,2021,8.291666667,2.25
31956,26 Aug 2023,24 Aug 2023,11:20 AM,Bangalore,251,COUNTERFEITING,40,M,Knife,Other Crime,8,Solved,18 Sep 2023,Adult,Fast,Morning,Aug,2023,25.25,2.33
21930,5 Jul 2022,2 Jul 2022,11:38 AM,Agra,155,BURGLARY,18,M,Poison,Other Crime,13,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2022,Not Resolved,2.92
18830,26 Feb 2022,23 Feb 2022,11:26 PM,Surat,110,DOMESTIC VIOLENCE,29,F,Explosives,Violent Crime,5,Solved,14 Apr 2022,Adult,Moderate,Night,Feb,2022,49.91666667,1.58
2731,25 Apr 2020,23 Apr 2020,10:31 PM,Mumbai,516,IDENTITY THEFT,55,M,Poison,Violent Crime,16,Solved,16 Jul 2020,Adult,Moderate,Night,Apr,2020,83.58333333,0.92
